s,t,tavolsag,dinic,BK,szintezo,modositott_dinic
3525.0,1673.0,2.0,2.60363,0.49484,0.63298,0.39572
3525.0,1595.0,2.0,1.21552,0.23348,0.69735,0.34177
566.0,1073.0,2.0,0.73576,0.26276,0.68335,0.39223
1595.0,2659.0,2.0,0.77367,0.42442,0.3031,0.32004
566.0,3156.0,2.0,1.413,0.28541,0.73469,0.43563
2008.0,603.0,2.0,1.41741,0.39242,0.74983,0.4526
603.0,3156.0,2.0,0.33909,0.28028,0.35462,0.20257
3156.0,2008.0,3.0,1.27363,0.48637,0.47072,0.47659
1073.0,1673.0,2.0,0.2974,0.42558,0.37064,0.24193
1073.0,2659.0,2.0,0.35164,0.37576,0.34429,0.31429
